exchange,pairs,route,price,high,low,percentage,absolute
kraken,xmrbtc,https://api.cryptowat.ch/markets/kraken/xmrbtc,0.01,0.01,0.01,-0.04,-0.0
kraken,xmreur,https://api.cryptowat.ch/markets/kraken/xmreur,216.88,236.47,210.01,-0.06,-14.29
kraken,xmrusd,https://api.cryptowat.ch/markets/kraken/xmrusd,254.38,278.21,245.11,-0.06,-17.62
kraken,dogebtc,https://api.cryptowat.ch/markets/kraken/dogebtc,0.0,0.0,0.0,-0.08,-0.0
kraken,xlmbtc,https://api.cryptowat.ch/markets/kraken/xlmbtc,0.0,0.0,0.0,-0.06,-0.0
kraken,xlmeur,https://api.cryptowat.ch/markets/kraken/xlmeur,0.29,0.33,0.28,-0.07,-0.02
kraken,xlmusd,https://api.cryptowat.ch/markets/kraken/xlmusd,0.34,0.38,0.33,-0.08,-0.03
kraken,xrpbtc,https://api.cryptowat.ch/markets/kraken/xrpbtc,0.0,0.0,0.0,-0.05,-0.0
kraken,xrpusd,https://api.cryptowat.ch/markets/kraken/xrpusd,1.11,1.23,1.05,-0.07,-0.08
kraken,xrpeur,https://api.cryptowat.ch/markets/kraken/xrpeur,0.95,1.04,0.9,-0.06,-0.07
kraken,xrpcad,https://api.cryptowat.ch/markets/kraken/xrpcad,1.4,1.54,1.32,-0.07,-0.11
kraken,xrpjpy,https://api.cryptowat.ch/markets/kraken/xrpjpy,122.55,133.26,116.51,-0.06,-7.95
kraken,dashbtc,https://api.cryptowat.ch/markets/kraken/dashbtc,0.0,0.0,0.0,-0.0,-0.0
kraken,dasheur,https://api.cryptowat.ch/markets/kraken/dasheur,168.26,179.77,159.15,-0.02,-3.03
kraken,dashusd,https://api.cryptowat.ch/markets/kraken/dashusd,196.81,211.52,186.21,-0.02,-4.46
kraken,usdtusd,https://api.cryptowat.ch/markets/kraken/usdtusd,1.0,1.0,1.0,-0.0,-0.0
kraken,bchbtc,https://api.cryptowat.ch/markets/kraken/bchbtc,0.01,0.01,0.01,-0.03,-0.0
kraken,bchusd,https://api.cryptowat.ch/markets/kraken/bchusd,645.7,690.54,620.07,-0.05,-34.75
kraken,bcheur,https://api.cryptowat.ch/markets/kraken/bcheur,551.09,587.68,530.3,-0.05,-27.32
cexio,btcusd,https://api.cryptowat.ch/markets/cexio/btcusd,45086.9,47089.7,44296.4,-0.02,-933.6
cexio,btceur,https://api.cryptowat.ch/markets/cexio/btceur,38432.9,39975.8,37842.6,-0.02,-656.3
cexio,ltcusd,https://api.cryptowat.ch/markets/cexio/ltcusd,169.52,183.81,165.44,-0.06,-10.49
cexio,ltcbtc,https://api.cryptowat.ch/markets/cexio/ltcbtc,0.0,0.0,0.0,-0.04,-0.0
cexio,bchusd,https://api.cryptowat.ch/markets/cexio/bchusd,644.38,689,623.5,-0.05,-34.85
cexio,ethbtc,https://api.cryptowat.ch/markets/cexio/ethbtc,0.07,0.07,0.07,-0.02,-0.0
